State_County,State,County,Levels_Smokers,Levels_COPD
"Towns, Georgia",Georgia,Towns,16.0,10.1
"Thomas, Georgia",Georgia,Thomas,20.4,9.3
"Richmond, Georgia",Georgia,Richmond,21.0,8.4
"Owyhee, Idaho",Idaho,Owyhee,18.1,7.7
"Berrien, Georgia",Georgia,Berrien,25.6,11.3
"Long, Georgia",Georgia,Long,22.8,7.8
"Heard, Georgia",Georgia,Heard,23.2,10.2
"Rockdale, Georgia",Georgia,Rockdale,18.1,7.1
"Fannin, Georgia",Georgia,Fannin,18.8,10.6
"Washington, Florida",Florida,Washington,25.4,12.4
"Middlesex, Connecticut",Connecticut,Middlesex,12.5,5.7
"Fulton, Georgia",Georgia,Fulton,14.2,5.2
"Carroll, Georgia",Georgia,Carroll,21.4,8.1
"Lee, Georgia",Georgia,Lee,19.0,7.1
"Seminole, Georgia",Georgia,Seminole,21.7,11.0
"Lewis, Idaho",Idaho,Lewis,18.6,9.9
"Tolland, Connecticut",Connecticut,Tolland,12.4,5.1
"Miami-Dade, Florida",Florida,Miami-Dade,13.2,6.0
"Lincoln, Georgia",Georgia,Lincoln,21.4,11.0
"Dixie, Florida",Florida,Dixie,26.2,14.2
"Gilmer, Georgia",Georgia,Gilmer,20.1,10.5
"Wakulla, Florida",Florida,Wakulla,21.0,9.2
"Caribou, Idaho",Idaho,Caribou,18.0,7.0
"Clinch, Georgia",Georgia,Clinch,29.5,13.9
"Hernando, Florida",Florida,Hernando,19.1,10.7
"Worth, Georgia",Georgia,Worth,22.5,10.5
"Coffee, Georgia",Georgia,Coffee,24.5,9.5
"Schley, Georgia",Georgia,Schley,20.8,9.3
"Peach, Georgia",Georgia,Peach,20.5,8.5
"Grady, Georgia",Georgia,Grady,21.9,10.2
"Greene, Georgia",Georgia,Greene,18.8,10.6
"Washington, Colorado",Colorado,Washington,17.2,7.3
"Routt, Colorado",Colorado,Routt,13.6,5.0
"Hardee, Florida",Florida,Hardee,21.9,10.4
"Taylor, Florida",Florida,Taylor,26.5,12.4
"Bonner, Idaho",Idaho,Bonner,17.1,8.4
"Nassau, Florida",Florida,Nassau,17.8,9.0
"Jones, Georgia",Georgia,Jones,20.4,8.9
