State_County,Days_With_AQI,Good_Days,Moderate_Days,Unhealthy_For_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous Days
"Illinois, Kane",284,229,51,4,0,0,0
"Illinois, Lake",245,210,33,2,0,0,0
"Illinois, Macon",364,260,104,0,0,0,0
"Illinois, Macoupin",357,340,17,0,0,0,0
"Illinois, Madison",363,190,170,1,2,0,0
"Illinois, McHenry",340,230,108,2,0,0,0
"Illinois, McLean",364,256,108,0,0,0,0
"Illinois, Peoria",364,284,78,2,0,0,0
"Illinois, Randolph",324,264,60,0,0,0,0
"Illinois, Rock Island",361,281,78,2,0,0,0
"Illinois, Saint Clair",365,272,92,1,0,0,0
"Illinois, Sangamon",360,287,73,0,0,0,0
"Illinois, Will",365,260,105,0,0,0,0
"Illinois, Winnebago",341,240,100,1,0,0,0
"Indiana, Allen",365,262,102,1,0,0,0
"Indiana, Bartholomew",364,298,66,0,0,0,0
"Indiana, Boone",351,320,31,0,0,0,0
"Indiana, Brown",365,349,16,0,0,0,0
"Indiana, Carroll",358,333,25,0,0,0,0
"Indiana, Clark",365,287,77,1,0,0,0
"Indiana, Delaware",352,319,33,0,0,0,0
"Indiana, Dubois",120,102,18,0,0,0,0
"Indiana, Elkhart",365,294,71,0,0,0,0
"Indiana, Floyd",361,336,25,0,0,0,0
"Indiana, Greene",355,318,37,0,0,0,0
"Indiana, Hamilton",365,268,95,2,0,0,0
"Indiana, Hendricks",361,348,13,0,0,0,0
"Indiana, Henry",119,106,13,0,0,0,0
"Indiana, Howard",361,289,71,1,0,0,0
"Indiana, Huntington",355,345,10,0,0,0,0
"Indiana, Jackson",360,340,20,0,0,0,0
"Indiana, Knox",359,328,31,0,0,0,0
"Indiana, LaPorte",364,305,55,4,0,0,0
"Indiana, Lake",365,227,137,1,0,0,0
"Indiana, Madison",365,286,78,1,0,0,0
"Indiana, Marion",365,153,208,4,0,0,0
"Indiana, Monroe",346,296,50,0,0,0,0
"Indiana, Morgan",364,344,20,0,0,0,0
"Indiana, Perry",358,322,36,0,0,0,0
"Indiana, Porter",365,271,90,4,0,0,0
"Indiana, Posey",364,341,23,0,0,0,0
"Indiana, Shelby",365,338,27,0,0,0,0
"Indiana, Spencer",117,101,16,0,0,0,0
"Indiana, St. Joseph",365,276,89,0,0,0,0
"Indiana, Sullivan",116,99,17,0,0,0,0
"Indiana, Tippecanoe",351,284,67,0,0,0,0
"Indiana, Vanderburgh",365,296,69,0,0,0,0
"Indiana, Vigo",365,238,126,1,0,0,0
"Indiana, Wabash",351,319,32,0,0,0,0
"Indiana, Warrick",365,337,28,0,0,0,0
"Indiana, Whitley",352,285,67,0,0,0,0
"Iowa, Black Hawk",363,296,67,0,0,0,0
"Iowa, Bremer",243,228,15,0,0,0,0
"Iowa, Cerro Gordo",118,118,0,0,0,0,0
"Iowa, Clinton",364,268,96,0,0,0,0
"Iowa, Harrison",241,222,19,0,0,0,0
"Iowa, Johnson",364,278,86,0,0,0,0
"Iowa, Lee",120,101,19,0,0,0,0
"Iowa, Linn",365,287,78,0,0,0,0
"Iowa, Montgomery",364,312,52,0,0,0,0
"Iowa, Muscatine",365,302,63,0,0,0,0
"Iowa, Palo Alto",364,305,59,0,0,0,0
"Iowa, Polk",365,306,59,0,0,0,0
"Iowa, Pottawattamie",130,111,19,0,0,0,0
"Iowa, Scott",365,222,141,2,0,0,0
"Iowa, Van Buren",361,310,51,0,0,0,0
"Iowa, Woodbury",118,105,13,0,0,0,0
"Kansas, Chase",118,112,5,1,0,0,0
"Kansas, Ford",304,301,3,0,0,0,0
"Kansas, Johnson",362,336,26,0,0,0,0
"Kansas, Leavenworth",362,347,15,0,0,0,0
"Kansas, Neosho",365,282,82,1,0,0,0
"Kansas, Sedgwick",365,313,52,0,0,0,0
"Kansas, Shawnee",365,294,70,0,1,0,0
"Kansas, Sherman",358,354,4,0,0,0,0
"Kansas, Sumner",365,317,48,0,0,0,0
"Kansas, Trego",364,342,22,0,0,0,0
"Kansas, Wyandotte",365,291,73,1,0,0,0
"Kentucky, Bell",263,243,20,0,0,0,0
"Kentucky, Boone",239,222,17,0,0,0,0
"Kentucky, Boyd",365,313,52,0,0,0,0
"Kentucky, Bullitt",243,214,29,0,0,0,0
"Kentucky, Campbell",362,298,63,1,0,0,0
"Kentucky, Carter",285,278,7,0,0,0,0
"Kentucky, Christian",278,251,27,0,0,0,0
"Kentucky, Daviess",364,284,79,1,0,0,0
"Kentucky, Edmonson",365,290,75,0,0,0,0
"Kentucky, Fayette",364,307,57,0,0,0,0
"Kentucky, Greenup",242,237,5,0,0,0,0
"Kentucky, Hancock",245,208,37,0,0,0,0
"Kentucky, Hardin",363,318,45,0,0,0,0
"Kentucky, Henderson",59,38,21,0,0,0,0
"Kentucky, Jefferson",365,200,163,2,0,0,0
"Kentucky, Jessamine",245,221,24,0,0,0,0
"Kentucky, Livingston",261,237,24,0,0,0,0
"Kentucky, McCracken",361,260,101,0,0,0,0
"Kentucky, Morgan",356,341,15,0,0,0,0
"Kentucky, Oldham",242,203,38,1,0,0,0
"Kentucky, Perry",353,306,47,0,0,0,0
"Kentucky, Pike",361,341,20,0,0,0,0
"Kentucky, Pulaski",282,267,15,0,0,0,0
"Kentucky, Simpson",244,222,22,0,0,0,0
"Kentucky, Trigg",353,328,25,0,0,0,0
"Kentucky, Warren",348,295,53,0,0,0,0
"Kentucky, Washington",364,331,33,0,0,0,0
"Louisiana, Ascension",361,319,41,1,0,0,0
"Louisiana, Bossier",357,324,33,0,0,0,0
"Louisiana, Caddo",356,296,60,0,0,0,0
"Louisiana, Calcasieu",365,239,126,0,0,0,0
"Louisiana, East Baton Rouge",365,260,103,2,0,0,0
"Louisiana, Iberville",365,306,55,4,0,0,0
"Louisiana, Jefferson",365,310,55,0,0,0,0
"Louisiana, Lafayette",365,283,82,0,0,0,0
"Louisiana, Lafourche",360,273,85,2,0,0,0
"Louisiana, Livingston",365,279,86,0,0,0,0
"Louisiana, Orleans",365,327,38,0,0,0,0
"Louisiana, Ouachita",363,335,28,0,0,0,0
"Louisiana, Pointe Coupee",351,322,26,3,0,0,0
"Louisiana, Rapides",119,107,12,0,0,0,0
"Louisiana, St. Bernard",365,254,110,1,0,0,0
"Louisiana, St. James",359,344,15,0,0,0,0
"Louisiana, St. John the Baptist",364,334,30,0,0,0,0
"Louisiana, St. Martin",355,330,25,0,0,0,0
"Louisiana, St. Tammany",363,306,57,0,0,0,0
"Louisiana, Tangipahoa",117,104,13,0,0,0,0
"Louisiana, Terrebonne",120,108,12,0,0,0,0
"Louisiana, West Baton Rouge",364,288,76,0,0,0,0
"Maine, Androscoggin",361,345,16,0,0,0,0
"Maine, Aroostook",365,333,30,1,1,0,0
"Maine, Cumberland",365,314,51,0,0,0,0
"Maine, Hancock",365,347,17,1,0,0,0
"Maine, Kennebec",361,356,5,0,0,0,0
"Maine, Knox",213,204,9,0,0,0,0
"Maine, Oxford",334,323,11,0,0,0,0
"Maine, Penobscot",362,349,13,0,0,0,0
"Maine, Washington",363,360,3,0,0,0,0
"Maine, York",231,216,14,1,0,0,0
"Maryland, Anne Arundel",264,179,78,7,0,0,0
"Maryland, Baltimore",365,263,93,9,0,0,0
"Maryland, Baltimore (City)",363,268,89,6,0,0,0
"Maryland, Calvert",232,214,18,0,0,0,0
"Maryland, Carroll",241,205,35,1,0,0,0
"Maryland, Cecil",361,290,68,3,0,0,0
"Maryland, Charles",221,202,19,0,0,0,0
"Maryland, Dorchester",365,304,58,3,0,0,0
"Maryland, Frederick",243,198,44,1,0,0,0
"Maryland, Garrett",365,345,20,0,0,0,0
"Maryland, Harford",359,261,89,9,0,0,0
"Maryland, Howard",365,319,46,0,0,0,0
"Maryland, Kent",360,298,61,1,0,0,0
"Maryland, Montgomery",361,313,48,0,0,0,0
"Maryland, Prince George's",365,268,91,6,0,0,0
"Maryland, Washington",360,313,47,0,0,0,0
"Massachusetts, Barnstable",359,348,11,0,0,0,0
"Massachusetts, Berkshire",364,320,44,0,0,0,0
"Massachusetts, Bristol",364,323,41,0,0,0,0
"Massachusetts, Dukes",352,331,17,4,0,0,0
"Massachusetts, Essex",364,329,34,1,0,0,0
"Massachusetts, Franklin",364,326,38,0,0,0,0
"Massachusetts, Hampden",364,308,56,0,0,0,0
"Massachusetts, Hampshire",364,332,32,0,0,0,0
"Massachusetts, Middlesex",364,337,27,0,0,0,0
"Massachusetts, Norfolk",362,352,10,0,0,0,0
"Massachusetts, Plymouth",363,336,27,0,0,0,0
"Massachusetts, Suffolk",365,310,55,0,0,0,0
"Massachusetts, Worcester",365,314,51,0,0,0,0
"Michigan, Allegan",276,227,45,4,0,0,0
"Michigan, Bay",316,288,28,0,0,0,0
"Michigan, Benzie",247,232,15,0,0,0,0
"Michigan, Berrien",260,232,26,2,0,0,0
"Michigan, Cass",255,229,26,0,0,0,0
"Michigan, Chippewa",58,53,5,0,0,0,0
"Michigan, Clinton",248,243,5,0,0,0,0
"Michigan, Genesee",340,282,58,0,0,0,0
"Michigan, Huron",259,250,9,0,0,0,0
"Michigan, Ingham",365,331,34,0,0,0,0
"Michigan, Kalamazoo",362,312,50,0,0,0,0
