X,Y,FID,year_,MSHA_ID,name,type_,mstafips,state,county,mctyfips,lat,lon,unit,tot_prod,notes
-78.891667,41.0583330000001,226,2020,3605828,Yenzi Strip #3 Mine,Surface,42,Pennsylvania,Jefferson,65,41.058333,-78.891667,short tons,"7,022",
-79.7583559999999,39.1404680000001,227,2020,3606393,Wymps Gap Surface Coal Mine,Surface,42,Pennsylvania,Fayette,51,39.140468,-79.758356,short tons,"1,181",
-79.2047219999999,41.1205560000001,228,2020,3606562,Reichard Strips,Surface,42,Pennsylvania,Jefferson,65,41.120556,-79.204722,short tons,"8,480",
-78.475407,40.975762,229,2020,3606586,Waroquier #1,Surface,42,Pennsylvania,Clearfield,33,40.975762,-78.475407,short tons,"2,097",
-80.4726199999999,39.919627,230,2020,3607230,Bailey Mine,Underground,42,Pennsylvania,Greene,59,39.919627,-80.47262,short tons,"8,668,477",
-76.111387,40.708354,231,2020,3607240,E O J Strip Mine,Surface,42,Pennsylvania,Schuylkill,107,40.708354,-76.111387,short tons,"16,348",
-80.346103,40.0746510000001,232,2020,3607416,Enlow Fork Mine,Underground,42,Pennsylvania,Washington,125,40.074651,-80.346103,short tons,"5,691,381",
-79.010163,40.766395,233,2020,3607437,Rochester Mills Strip Mine,Surface,42,Pennsylvania,Indiana,63,40.766395,-79.010163,short tons,"3,434",
-76.124722,40.738888,234,2020,3607636,Mid Port Strip,Surface,42,Pennsylvania,Schuylkill,107,40.738888,-76.124722,short tons,"14,537",
-78.175,40.9750000000001,235,2020,3607670,King #1,Surface,42,Pennsylvania,Clearfield,33,40.975,-78.175,short tons,"10,271",
-76.282777,40.7047220000001,236,2020,3607730,Serill Strip,Surface,42,Pennsylvania,Schuylkill,107,40.704722,-76.282777,short tons,"5,533",
-79.346944,40.589166,237,2020,3607880,Condor Mine,Surface,42,Pennsylvania,Indiana,63,40.589166,-79.346944,short tons,"2,118",
-78.930282,39.923795,238,2020,3607928,Fieg Bros Coal Co.,Surface,42,Pennsylvania,Somerset,111,39.923795,-78.930282,short tons,"63,061",
-76.395,40.7055550000001,239,2020,3608034,Sherman Mountain Coal Strip,Surface,42,Pennsylvania,Schuylkill,107,40.705555,-76.395,short tons,342,
-79.3074999999999,40.691111,240,2020,3608135,Darmac No. 2 Mine,Underground,42,Pennsylvania,Armstrong,5,40.691111,-79.3075,short tons,"286,201",
