State_County,StateDesc,LocationName,Levels_Smokers,Levels_COPD,Low CL COPD,High CL COPD
"Alaska, Denali",Alaska,Denali,18.7,6.0,5.1,6.9
"Alabama, Chilton",Alabama,Chilton,23.4,10.5,9.2,11.8
"Arkansas, Craighead",Arkansas,Craighead,21.3,8.0,7.0,9.2
"California, Humboldt",California,Humboldt,14.6,7.1,6.1,8.2
"Arizona, Pima",Arizona,Pima,13.5,6.0,5.3,6.9
"California, Contra Costa",California,Contra Costa,10.0,4.4,3.9,5.1
"Colorado, Moffat",Colorado,Moffat,18.5,6.8,5.9,7.7
"Arkansas, Benton",Arkansas,Benton,16.6,6.5,5.7,7.6
"Alaska, Lake and Peninsula",Alaska,Lake and Peninsula,29.7,9.7,8.8,10.8
"Alabama, Pickens",Alabama,Pickens,22.6,10.4,9.3,11.6
"Alabama, Lowndes",Alabama,Lowndes,24.3,11.8,10.4,13.2
"Colorado, Park",Colorado,Park,15.4,6.4,5.4,7.5
"Alabama, Chambers",Alabama,Chambers,22.4,10.4,9.3,11.6
"Colorado, Phillips",Colorado,Phillips,15.5,7.0,5.9,8.1
"Arkansas, Hot Spring",Arkansas,Hot Spring,21.9,10.4,9.1,11.8
"Alabama, Tuscaloosa",Alabama,Tuscaloosa,19.3,7.3,6.4,8.3
"Arkansas, Hempstead",Arkansas,Hempstead,21.5,10.1,9.1,11.3
"California, Inyo",California,Inyo,12.9,6.7,5.8,7.6
"California, Fresno",California,Fresno,14.4,5.4,4.8,6.1
"Arkansas, Monroe",Arkansas,Monroe,23.8,12.6,11.4,14.0
"California, Marin",California,Marin,9.0,4.9,4.0,6.0
"Arkansas, Prairie",Arkansas,Prairie,21.3,11.2,9.7,12.8
"Alabama, Cherokee",Alabama,Cherokee,23.0,12.0,10.3,13.8
"California, Madera",California,Madera,14.0,6.0,5.4,6.7
"Arkansas, Conway",Arkansas,Conway,22.1,10.5,9.2,11.9
"Colorado, Clear Creek",Colorado,Clear Creek,13.5,5.5,4.5,6.7
"Colorado, Chaffee",Colorado,Chaffee,14.7,6.5,5.4,7.8
"Arkansas, Mississippi",Arkansas,Mississippi,24.9,10.4,9.3,11.6
"California, Orange",California,Orange,10.4,4.3,3.7,4.9
"Colorado, Costilla",Colorado,Costilla,15.9,8.1,7.0,9.2
"Alabama, Lee",Alabama,Lee,17.6,6.9,6.0,7.8
"California, Santa Cruz",California,Santa Cruz,10.8,5.0,4.3,5.8
"California, Kings",California,Kings,14.5,5.2,4.6,5.7
"California, San Joaquin",California,San Joaquin,13.9,5.3,4.7,5.8
"Arkansas, Baxter",Arkansas,Baxter,19.4,11.3,9.7,13.1
"Arkansas, Fulton",Arkansas,Fulton,23.4,13.9,12.1,15.8
"Colorado, Grand",Colorado,Grand,15.6,5.9,4.8,7.0
"Colorado, Ouray",Colorado,Ouray,11.9,5.8,4.7,7.0
"Alabama, Greene",Alabama,Greene,26.2,13.9,12.4,15.3
"Alaska, Haines",Alaska,Haines,17.1,7.4,6.3,8.4
"Alabama, Washington",Alabama,Washington,23.3,11.7,10.5,12.9
"Arkansas, Randolph",Arkansas,Randolph,23.8,12.0,10.3,13.7
"Arkansas, Boone",Arkansas,Boone,21.3,10.5,9.1,12.1
"Colorado, Bent",Colorado,Bent,20.8,7.8,7.1,8.6
"Arkansas, Clark",Arkansas,Clark,18.1,7.9,7.0,8.9
"Alaska, Wrangell",Alaska,Wrangell,19.7,8.8,7.7,10.0
"Florida, Charlotte",Florida,Charlotte,16.1,11.8,10.1,13.7
"Georgia, McDuffie",Georgia,McDuffie,23.7,10.7,9.7,11.9
"Georgia, Bibb",Georgia,Bibb,21.7,8.7,7.7,9.6
"Georgia, Butts",Georgia,Butts,24.6,9.7,8.7,10.9
"Idaho, Idaho",Idaho,Idaho,17.3,9.8,8.3,11.3
"Georgia, Gordon",Georgia,Gordon,21.7,9.1,8.0,10.3
"Florida, DeSoto",Florida,DeSoto,22.0,11.5,10.3,12.7
"Georgia, Jefferson",Georgia,Jefferson,24.7,11.2,10.1,12.2
"Georgia, Wilkes",Georgia,Wilkes,22.1,11.3,10.1,12.6
"Georgia, Glynn",Georgia,Glynn,19.0,8.7,7.4,10.0
"Florida, Okaloosa",Florida,Okaloosa,17.8,7.7,6.7,8.9
"Georgia, Miller",Georgia,Miller,21.8,11.1,9.8,12.5
"Georgia, Evans",Georgia,Evans,24.1,10.8,9.6,12.0
"Georgia, Dodge",Georgia,Dodge,24.1,10.6,9.4,11.7
"Florida, Calhoun",Florida,Calhoun,24.4,11.4,10.1,12.8
"Georgia, Atkinson",Georgia,Atkinson,25.3,10.7,9.6,11.8
"Florida, Baker",Florida,Baker,24.1,9.9,8.7,11.1
"Georgia, Clayton",Georgia,Clayton,20.3,6.8,6.0,7.6
"Idaho, Bear Lake",Idaho,Bear Lake,16.4,7.8,6.7,9.0
"Florida, Marion",Florida,Marion,19.4,10.9,9.5,12.4
"Idaho, Lemhi",Idaho,Lemhi,16.2,9.2,7.7,10.8
"Idaho, Boundary",Idaho,Boundary,18.4,8.6,7.3,9.9
"Georgia, Wilkinson",Georgia,Wilkinson,23.1,11.0,9.9,12.2
"Idaho, Clearwater",Idaho,Clearwater,17.7,8.7,7.4,10.1
"Georgia, Ware",Georgia,Ware,23.9,10.8,9.5,12.0
"Florida, Okeechobee",Florida,Okeechobee,23.0,11.0,9.7,12.1
"Georgia, Stewart",Georgia,Stewart,23.9,7.7,6.9,8.5
"Georgia, Henry",Georgia,Henry,16.9,6.1,5.5,6.8
