State_County,State,County,Levels_Smokers,Levels_COPD
"Florida, DeSoto",Florida,DeSoto,22.0,11.5
"Georgia, Jefferson",Georgia,Jefferson,24.7,11.2
"Georgia, Wilkes",Georgia,Wilkes,22.1,11.3
"Georgia, Glynn",Georgia,Glynn,19.0,8.7
"Florida, Okaloosa",Florida,Okaloosa,17.8,7.7
"Georgia, Miller",Georgia,Miller,21.8,11.1
"Georgia, Evans",Georgia,Evans,24.1,10.8
"Georgia, Dodge",Georgia,Dodge,24.1,10.6
"Florida, Calhoun",Florida,Calhoun,24.4,11.4
"Georgia, Atkinson",Georgia,Atkinson,25.3,10.7
"Florida, Baker",Florida,Baker,24.1,9.9
"Georgia, Clayton",Georgia,Clayton,20.3,6.8
"Idaho, Bear Lake",Idaho,Bear Lake,16.4,7.8
"Florida, Marion",Florida,Marion,19.4,10.9
"Idaho, Lemhi",Idaho,Lemhi,16.2,9.2
"Idaho, Boundary",Idaho,Boundary,18.4,8.6
"Georgia, Wilkinson",Georgia,Wilkinson,23.1,11.0
"Idaho, Clearwater",Idaho,Clearwater,17.7,8.7
"Georgia, Ware",Georgia,Ware,23.9,10.8
"Florida, Okeechobee",Florida,Okeechobee,23.0,11.0
"Georgia, Stewart",Georgia,Stewart,23.9,7.7
"Georgia, Henry",Georgia,Henry,16.9,6.1
"Georgia, Telfair",Georgia,Telfair,25.3,10.5
"Georgia, Lumpkin",Georgia,Lumpkin,18.8,8.4
"Georgia, Whitfield",Georgia,Whitfield,20.6,7.9
"Georgia, Bleckley",Georgia,Bleckley,20.0,8.8
"Georgia, Clarke",Georgia,Clarke,17.6,6.3
"Colorado, Teller",Colorado,Teller,13.9,6.2
"Florida, Madison",Florida,Madison,23.3,12.0
"Georgia, Pierce",Georgia,Pierce,23.4,10.6
"Georgia, Stephens",Georgia,Stephens,20.2,9.3
"Idaho, Canyon",Idaho,Canyon,17.5,6.3
"Hawaii, Honolulu",Hawaii,Honolulu,13.1,4.2
"Georgia, Jackson",Georgia,Jackson,20.4,7.8
"Hawaii, Hawaii",Hawaii,Hawaii,16.7,6.1
"Georgia, Pulaski",Georgia,Pulaski,21.3,10.4
"Connecticut, New London",Connecticut,New London,13.0,6.0
"Georgia, Walton",Georgia,Walton,20.3,8.3
"Florida, Flagler",Florida,Flagler,18.5,10.3
"Georgia, Charlton",Georgia,Charlton,26.7,10.8
"Florida, Gadsden",Florida,Gadsden,21.2,10.5
"Georgia, Walker",Georgia,Walker,22.5,10.1
"Georgia, Macon",Georgia,Macon,25.4,11.1
"Georgia, Pickens",Georgia,Pickens,18.9,9.2
"Georgia, Catoosa",Georgia,Catoosa,19.4,8.4
"Georgia, Echols",Georgia,Echols,22.4,8.7
"Florida, Palm Beach",Florida,Palm Beach,14.0,7.6
"Georgia, Newton",Georgia,Newton,20.3,7.6
"Florida, Manatee",Florida,Manatee,15.8,9.4
"Florida, Seminole",Florida,Seminole,13.5,6.4
"Florida, Hillsborough",Florida,Hillsborough,16.1,6.6
"Idaho, Camas",Idaho,Camas,17.9,8.8
"Idaho, Payette",Idaho,Payette,16.9,7.3
"Georgia, Wheeler",Georgia,Wheeler,26.0,9.8
"Colorado, Summit",Colorado,Summit,13.2,4.4
"Georgia, Oconee",Georgia,Oconee,13.3,5.7
"Florida, Broward",Florida,Broward,14.8,6.7
"Florida, Duval",Florida,Duval,19.1,7.8
"Georgia, Monroe",Georgia,Monroe,19.5,8.4
"Georgia, Jenkins",Georgia,Jenkins,26.8,11.7
"Georgia, Early",Georgia,Early,24.3,11.6
"Idaho, Clark",Idaho,Clark,18.1,7.3
"Florida, Levy",Florida,Levy,22.9,13.0
"Georgia, Burke",Georgia,Burke,23.2,10.1
"Idaho, Butte",Idaho,Butte,17.2,8.8
"Georgia, Johnson",Georgia,Johnson,26.3,11.1
