State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
"Colorado, Boulder",Colorado,Boulder,730.0,483.0,232.0,15.0,0.0,0.0,0.0
"Colorado, Clear Creek",Colorado,Clear Creek,360.0,243.0,116.0,1.0,0.0,0.0,0.0
"Colorado, Delta",Colorado,Delta,486.0,455.0,30.0,1.0,0.0,0.0,0.0
"Colorado, Denver",Colorado,Denver,730.0,453.0,274.0,2.0,1.0,0.0,0.0
"Colorado, Douglas",Colorado,Douglas,724.0,503.0,203.0,17.0,1.0,0.0,0.0
"Colorado, El Paso",Colorado,El Paso,730.0,554.0,175.0,1.0,0.0,0.0,0.0
"Colorado, Fremont",Colorado,Fremont,91.0,91.0,0.0,0.0,0.0,0.0,0.0
"Colorado, Garfield",Colorado,Garfield,730.0,593.0,137.0,0.0,0.0,0.0,0.0
"Colorado, Gilpin",Colorado,Gilpin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colorado, Gunnison",Colorado,Gunnison,722.0,563.0,156.0,3.0,0.0,0.0,0.0
"Colorado, Jackson",Colorado,Jackson,221.0,220.0,1.0,0.0,0.0,0.0,0.0
"Colorado, Jefferson",Colorado,Jefferson,730.0,501.0,203.0,25.0,1.0,0.0,0.0
"Colorado, La Plata",Colorado,La Plata,730.0,529.0,195.0,6.0,0.0,0.0,0.0
"Colorado, Larimer",Colorado,Larimer,730.0,431.0,285.0,14.0,0.0,0.0,0.0
"Colorado, Mesa",Colorado,Mesa,729.0,519.0,204.0,5.0,1.0,0.0,0.0
"Colorado, Montezuma",Colorado,Montezuma,730.0,505.0,223.0,2.0,0.0,0.0,0.0
"Colorado, Pitkin",Colorado,Pitkin,427.0,305.0,116.0,5.0,1.0,0.0,0.0
"Colorado, Prowers",Colorado,Prowers,711.0,688.0,19.0,4.0,0.0,0.0,0.0
"Colorado, Pueblo",Colorado,Pueblo,327.0,275.0,52.0,0.0,0.0,0.0,0.0
"Colorado, Rio Blanco",Colorado,Rio Blanco,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colorado, Routt",Colorado,Routt,706.0,684.0,21.0,1.0,0.0,0.0,0.0
"Colorado, San Juan",Colorado,San Juan,238.0,237.0,1.0,0.0,0.0,0.0,0.0
"Colorado, San Miguel",Colorado,San Miguel,227.0,222.0,5.0,0.0,0.0,0.0,0.0
"Colorado, Weld",Colorado,Weld,730.0,529.0,196.0,5.0,0.0,0.0,0.0
"Connecticut, Fairfield",Connecticut,Fairfield,730.0,516.0,181.0,30.0,3.0,0.0,0.0
"Connecticut, Hartford",Connecticut,Hartford,730.0,594.0,128.0,8.0,0.0,0.0,0.0
"Connecticut, Litchfield",Connecticut,Litchfield,730.0,666.0,61.0,3.0,0.0,0.0,0.0
